Person ID,Entry Time,Exit Time,,Person ID,Total Time Spent
5,1714320308,1714320314,,5,6.272134542
8,1714320309,1714320312,,8,2.591262579
4,1714320310,1714320319,,4,9.653617382
10,1714320317,1714320322,,10,4.309868574
50,1714320313,1714320323,,50,9.823309183
61,1714320313,1714320325,,61,11.30030036
62,1714320315,1714320323,,62,8.197270155
